M03520:605:000000000-LVNKY:1:2101:27428:14090;size=1	A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139	98.675	151	2	1.84e-74	268	151
M03520:605:000000000-LVNKY:1:2101:27428:14090;size=1	A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976	96.040	101	4	2.49e-43	165	151
M03520:605:000000000-LVNKY:1:2101:27428:14090;size=1	A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af	92.208	77	6	1.18e-26	110	151
M03520:605:000000000-LVNKY:1:2107:9732:25978;size=1	A00405_539_HLLNCDSX3_4_2170_22381_8938_1_289_-_5eaf02e2ec49222f3f23b439151ed5af	98.319	119	2	1.13e-56	209	151
M03520:605:000000000-LVNKY:1:2107:9732:25978;size=1	A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139	92.045	88	7	4.22e-31	124	151
M03520:605:000000000-LVNKY:1:1105:8935:5111;size=4	A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c	99.083	109	1	8.83e-53	196	151
M03520:605:000000000-LVNKY:1:2114:24134:18932;size=1	A00405_539_HLLNCDSX3_4_1149_18701_36605_1_292_-_4a407c9c3375a6ad5003bdd88d91a484	98.261	115	2	1.90e-54	202	151
M03520:605:000000000-LVNKY:1:2109:12688:26507;size=1	A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c	99.083	109	1	8.83e-53	196	151
M03520:605:000000000-LVNKY:1:1108:15869:28699;size=2	A00405_539_HLLNCDSX3_4_1418_8196_3505_1_290_-_1bf831b7d5cca66c11b01477482cf05f	99.324	148	1	1.84e-74	268	151
M03520:605:000000000-LVNKY:1:2101:25557:22399;size=1	A00405_539_HLLNCDSX3_4_2602_21052_24111_1_292_-_bd1b328e4ee7029fea4cbb06536b8f36	99.167	120	1	6.77e-59	217	151
M03520:605:000000000-LVNKY:1:2101:25557:22399;size=1	A00405_539_HLLNCDSX3_4_2307_13196_28291_1_273_+_08c022a9cdf0c7266ffcd5bb231ae69a	99.145	117	1	3.15e-57	211	151
M03520:605:000000000-LVNKY:1:1108:26166:15846;size=2	A00405_539_HLLNCDSX3_4_2576_29315_15749_1_293_+_81ef8281ba5891ff7b36aceec603003c	100.000	106	0	8.83e-53	196	151
M03520:605:000000000-LVNKY:1:1108:2655:18485;size=1	A00405_539_HLLNCDSX3_4_1402_30318_9439_1_266_-_252b574501f4a55884860c129baf3fba	98.473	131	2	2.42e-63	231	151
M03520:605:000000000-LVNKY:1:1108:2655:18485;size=1	A00405_539_HLLNCDSX3_4_2531_30996_36010_1_155_-_3dd8adaf489effec687ac56cfef68619	100.000	60	0	3.29e-27	111	151
M03520:605:000000000-LVNKY:1:2104:20605:15661;size=1	A00405_539_HLLNCDSX3_4_1144_21875_1705_1_289_-_2e38050b7207e66297542401e31b9aa3	99.265	136	1	8.64e-68	246	151
M03520:605:000000000-LVNKY:1:2108:17060:21665;size=1	A00405_539_HLLNCDSX3_4_2214_27434_30780_1_238_-_02586f3f6cd19c432ac8d02dc5b6f139	95.690	116	5	5.31e-50	187	151
M03520:605:000000000-LVNKY:1:2108:17060:21665;size=1	A00405_539_HLLNCDSX3_4_2516_24542_11083_1_284_-_3c21a6cd9e6937764d653129dacfc976	98.485	66	1	7.07e-29	117	151
